page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Meta,Duplicate page title,https://www.chewy.com/f/new-york-rangers-dog-clothing_c1470_f47v459736,True,Make titles unique at the page/template level.,NEW YORK RANGERS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,NEW YORK RANGERS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,67,"""Shop Chewy for the best deals on New York Rangers Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right New York Rangers Dog Clothing & Accessories for your pet.""",269,new york rangers dog clothing,New York Rangers Dog Clothing & Accessories,1,new-york-rangers-dog-clothing,True,True,False,False,True,False,False,False,378,435,2,,,,,,,2,2,2.0,1,0,0,1,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/boston-bruins-dog-clothing_c1470_f47v459727,True,Make titles unique at the page/template level.,BOSTON BRUINS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,BOSTON BRUINS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,64,"""Shop Chewy for the best deals on Boston Bruins Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Boston Bruins Dog Clothing & Accessories for your pet.""",263,boston bruins dog clothing,Boston Bruins Dog Clothing & Accessories,1,boston-bruins-dog-clothing,True,True,False,False,True,False,False,False,378,437,2,,,,,,,1,1,3.0,1,0,0,0,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/pittsburgh-penguins-dog-clothing_c1470_f47v459738,True,Make titles unique at the page/template level.,PITTSBURGH PENGUINS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,PITTSBURGH PENGUINS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,70,"Shop Chewy for the best deals on Pittsburgh Penguins Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Pittsburgh Penguins Dog Clothing & Accessories for your pet.",273,pittsburgh penguins dog clothing,Pittsburgh Penguins Dog Clothing & Accessories,1,pittsburgh-penguins-dog-clothing,True,True,False,False,True,False,False,False,378,434,2,,,,,,,1,1,8.0,1,0,0,0,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/vegas-golden-knights-dog-clothing_c1470_f47v459735,True,Make titles unique at the page/template level.,VEGAS GOLDEN KNIGHTS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,VEGAS GOLDEN KNIGHTS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,71,"""Shop Chewy for the best deals on Vegas Golden Knights Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Vegas Golden Knights Dog Clothing & Accessories for your pet.""",277,vegas golden knights dog clothing,Vegas Golden Knights Dog Clothing & Accessories,1,vegas-golden-knights-dog-clothing,True,True,False,False,True,False,False,False,372,434,2,,,,,,,1,1,3.0,1,0,0,0,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/columbus-blue-jackets-dog-clothing_c1470_f47v459730,True,Make titles unique at the page/template level.,COLUMBUS BLUE JACKETS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,COLUMBUS BLUE JACKETS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,72,"Shop Chewy for the best deals on Columbus Blue Jackets Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Columbus Blue Jackets Dog Clothing & Accessories for your pet.",277,columbus blue jackets dog clothing,Columbus Blue Jackets Dog Clothing & Accessories,1,columbus-blue-jackets-dog-clothing,True,True,False,False,True,False,False,False,372,432,2,,,,,,,1,1,4.0,1,0,0,0,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/minnesota-wild-dog-clothing_c1470_f47v459741,True,Make titles unique at the page/template level.,MINNESOTA WILD DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,MINNESOTA WILD DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,65,"""Shop Chewy for the best deals on Minnesota Wild Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Minnesota Wild Dog Clothing & Accessories for your pet.""",265,minnesota wild dog clothing,Minnesota Wild Dog Clothing & Accessories,1,minnesota-wild-dog-clothing,True,True,False,False,True,False,False,False,407,432,2,,,,,,,2,2,4.0,2,0,0,0,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/vegas-golden-knights-dog-clothing_c1470_f47v906373,True,Make titles unique at the page/template level.,VEGAS GOLDEN KNIGHTS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,VEGAS GOLDEN KNIGHTS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,71,"Shop Chewy for the best deals on Vegas Golden Knights Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Vegas Golden Knights Dog Clothing & Accessories for your pet.",275,,Vegas Golden Knights Dog Clothing & Accessories,1,vegas-golden-knights-dog-clothing,True,True,False,False,True,False,False,False,292,430,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/pittsburgh-penguins-dog-clothing_c1470_f47v906382,True,Make titles unique at the page/template level.,PITTSBURGH PENGUINS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,PITTSBURGH PENGUINS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,70,"""Shop Chewy for the best deals on Pittsburgh Penguins Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Pittsburgh Penguins Dog Clothing & Accessories for your pet.""",275,,Pittsburgh Penguins Dog Clothing & Accessories,1,pittsburgh-penguins-dog-clothing,True,True,False,False,True,False,False,False,292,430,2,,,,,,,,,,,,,,
HVF,Meta,Duplicate page title,https://www.chewy.com/f/las-vegas-raiders-dog-jerseys_c1470_f47v906444,True,Make titles unique at the page/template level.,LAS VEGAS RAIDERS DOG JERSEYS (Free Shipping) | Chewy,LAS VEGAS RAIDERS DOG JERSEYS (Free Shipping) | Chewy,53,"""Shop Chewy for the best deals on Raiders Dog Jerseys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Raiders Dog Jerseys for your pet.""",221,,Raiders Dog Jerseys,1,las-vegas-raiders-dog-jerseys,True,True,False,False,True,False,False,False,292,430,2,,,,,,,,,,,,,,
HVF,Meta,Duplicate page title,https://www.chewy.com/f/boston-bruins-dog-clothing_c1470_f47v906364,True,Make titles unique at the page/template level.,BOSTON BRUINS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,BOSTON BRUINS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,64,"Shop Chewy for the best deals on Boston Bruins Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Boston Bruins Dog Clothing & Accessories for your pet.",261,,Boston Bruins Dog Clothing & Accessories,1,boston-bruins-dog-clothing,True,True,False,False,True,False,False,False,225,428,2,,,,,,,,,,,,,,
HVF,Meta,Duplicate page title,https://www.chewy.com/f/new-york-rangers-dog-clothing_c1470_f47v906384,True,Make titles unique at the page/template level.,NEW YORK RANGERS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,NEW YORK RANGERS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,67,"Shop Chewy for the best deals on New York Rangers Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right New York Rangers Dog Clothing & Accessories for your pet.",267,,New York Rangers Dog Clothing & Accessories,1,new-york-rangers-dog-clothing,,False,False,False,True,False,False,False,225,428,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/philadelphia-flyers-dog-clothing_c1470_f47v906372,True,Make titles unique at the page/template level.,PHILADELPHIA FLYERS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,PHILADELPHIA FLYERS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,70,"Shop Chewy for the best deals on Philadelphia Flyers Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Philadelphia Flyers Dog Clothing & Accessories for your pet.",273,,Philadelphia Flyers Dog Clothing & Accessories,1,philadelphia-flyers-dog-clothing,,False,False,False,True,False,False,False,225,428,2,,,,,,,,,,,,,,
HVF,Meta,Duplicate page title,https://www.chewy.com/f/buffalo-sabres-dog-clothing_c1470_f47v906386,True,Make titles unique at the page/template level.,BUFFALO SABRES DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,BUFFALO SABRES DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,65,"Shop Chewy for the best deals on Buffalo Sabres Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Buffalo Sabres Dog Clothing & Accessories for your pet.",263,,Buffalo Sabres Dog Clothing & Accessories,1,buffalo-sabres-dog-clothing,,False,False,False,True,False,False,False,225,427,2,,,,,,,,,,,,,,
HVF,Meta,Duplicate page title,https://www.chewy.com/f/new-york-giants-dog-jerseys_c1470_f47v906442,True,Make titles unique at the page/template level.,NEW YORK GIANTS DOG JERSEYS (Free Shipping) | Chewy,NEW YORK GIANTS DOG JERSEYS (Free Shipping) | Chewy,51,"Shop Chewy for the best deals on Giants Dog Jerseys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Giants Dog Jerseys for your pet.",217,,Giants Dog Jerseys,1,new-york-giants-dog-jerseys,True,True,False,False,True,False,False,False,225,429,2,,,,,,,,,,,,,,
HVF,Meta,Duplicate page title,https://www.chewy.com/f/minnesota-wild-dog-clothing_c1470_f47v906390,True,Make titles unique at the page/template level.,MINNESOTA WILD DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,MINNESOTA WILD DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,65,"Shop Chewy for the best deals on Minnesota Wild Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Minnesota Wild Dog Clothing & Accessories for your pet.",263,,Minnesota Wild Dog Clothing & Accessories,1,minnesota-wild-dog-clothing,,False,False,False,True,False,False,False,225,427,2,,,,,,,,,,,,,,
HVF,Meta,Duplicate page title,https://www.chewy.com/f/columbus-blue-jackets-dog-clothing_c1470_f47v906362,True,Make titles unique at the page/template level.,COLUMBUS BLUE JACKETS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,COLUMBUS BLUE JACKETS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,72,"""Shop Chewy for the best deals on Columbus Blue Jackets Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Columbus Blue Jackets Dog Clothing & Accessories for your pet.""",279,,Columbus Blue Jackets Dog Clothing & Accessories,1,columbus-blue-jackets-dog-clothing,,False,False,False,True,False,False,False,225,427,2,,,,,,,,,,,,,,
HVF,Meta,Duplicate page title,https://www.chewy.com/f/los-angeles-kings-dog-clothing_c1470_f47v906377,True,Make titles unique at the page/template level.,LOS ANGELES KINGS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,LOS ANGELES KINGS DOG CLOTHING & ACCESSORIES (Free Shipping) | Chewy,68,"Shop Chewy for the best deals on Los Angeles Kings Dog Clothing & Accessories and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Los Angeles Kings Dog Clothing & Accessories for your pet.",269,,Los Angeles Kings Dog Clothing & Accessories,1,los-angeles-kings-dog-clothing,,False,False,False,True,False,False,False,225,427,2,,,,,,,,,,,,,,
HVF,Meta,Duplicate page title,https://www.chewy.com/f/glove-dog-brushes-combs_c356_f70v83788,True,Make titles unique at the page/template level.,GLOVE DOG BRUSHES & COMBS (Free Shipping) | Chewy,GLOVE DOG BRUSHES & COMBS (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on Glove Dog Brushes & Combs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Glove Dog Brushes & Combs for your pet.",231,glove dog brushes combs,Glove Dog Brushes & Combs,1,glove-dog-brushes-combs,True,True,False,False,True,False,False,False,45,337,2,,,,,,,2,2,14.0,1,0,1,0,3.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/budgie-toys_c970_f55v381720,True,Make titles unique at the page/template level.,BUDGIE TOYS (Free Shipping) | Chewy,BUDGIE TOYS (Free Shipping) | Chewy,35,"Shop Chewy for the best deals on Budgie Toys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Budgie Toys for your pet.",203,budgie toys,Budgie Toys,1,budgie-toys,True,True,False,False,True,False,False,False,55,363,2,,,,,,,2,2,10.5,1,1,0,0,3.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/iams-dog-food_c332_f1v144496,True,Make titles unique at the page/template level.,IAMS DOG FOOD (Free Shipping) | Chewy,IAMS DOG FOOD (Free Shipping) | Chewy,37,"Shop Chewy for the best deals on Iams Dog Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Iams Dog Food for your pet.",207,iams dog food,Iams Dog Food,1,iams-dog-food,False,False,False,False,True,False,False,False,147,381,2,,,,,,,6,5,12.75,1,3,0,2,
HVF,Meta,Duplicate page title,https://www.chewy.com/f/high-fiber-dog-food_c332_f3v594175,True,Make titles unique at the page/template level.,HIGH FIBER DOG FOOD (Free Shipping) | Chewy,HIGH FIBER DOG FOOD (Free Shipping) | Chewy,43,"Shop Chewy for the best deals on High Fiber Dog Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right High Fiber Dog Food for your pet.",219,high fiber dog food,High Fiber Dog Food,1,high-fiber-dog-food,True,True,False,False,True,False,False,True,1358,412,2,,,,,,,3,3,1.0,3,0,0,0,34.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/weight-control-dog-food_c332_f3v9080,True,Make titles unique at the page/template level.,WEIGHT MANAGEMENT DOG FOOD - WEIGHT LOSS DOG FOOD | CHEWY,WEIGHT MANAGEMENT DOG FOOD - WEIGHT LOSS DOG FOOD | CHEWY,57,"Shop Chewy for the best deals on Weight Control Dog Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Weight Control Dog Food for your pet.",227,weight control dog food,Weight Management Dog Food,1,weight-control-dog-food,True,True,False,False,True,False,False,True,1454,420,2,,,,,,,14,14,10.33,4,1,1,8,32.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/thyroid-dog-food_c332_f50v716884,True,Make titles unique at the page/template level.,THYROID DOG FOOD (Free Shipping) | Chewy,THYROID DOG FOOD (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Thyroid Dog Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Thyroid Dog Food for your pet.",213,,Thyroid Dog Food,1,thyroid-dog-food,True,True,False,False,True,False,False,False,838,344,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/enzymes-cats_c11589_f88v377543,True,Make titles unique at the page/template level.,ENZYMES FOR CATS (Free Shipping) | Chewy,ENZYMES FOR CATS (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Enzymes for Cats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Enzymes for Cats for your pet.",213,enzymes cats,Enzymes for Cats,1,enzymes-cats,True,True,False,False,True,False,False,True,30,329,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/mesh-cat-carriers-travel-accessories_c454_f7v265760,True,Make titles unique at the page/template level.,MESH CAT CARRIERS (Free Shipping) | Chewy,MESH CAT CARRIERS (Free Shipping) | Chewy,41,"Shop Chewy for the best deals on Mesh Cat Carriers and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Mesh Cat Carriers for your pet.",215,,Mesh Cat Carriers,1,mesh-cat-carriers-travel-accessories,True,True,False,False,True,False,False,False,51,368,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/unscented-dog-poop-bags_c354_f73v248843,True,Make titles unique at the page/template level.,UNSCENTED DOG POOP BAGS (Free Shipping) | Chewy,UNSCENTED DOG POOP BAGS (Free Shipping) | Chewy,47,"Shop Chewy for the best deals on No and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right No for your pet.",185,unscented dog poop bags,Unscented Dog Poop Bags,1,unscented-dog-poop-bags,True,True,False,False,True,False,False,False,23,354,2,,,,,,,1,1,12.0,0,1,0,0,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/pumpkin-dogs_c374_f199v19729350,True,Make titles unique at the page/template level.,PUMPKIN FOR DOGS (Free Shipping) | Chewy,PUMPKIN FOR DOGS (Free Shipping) | Chewy,40,"Shop Chewy for low prices and the best dog vitamins & supplements that can improve your pup's health, wellness and vitality. Dog vitamins help a dog’s body to function properly, regulating everything from dog digestive health, skin & coat care, allergy & immune system to muscle growth. *FREE* shipping on orders $49+ and the BEST customer service.",348,,Pumpkin for Dogs,1,pumpkin-dogs,True,False,False,False,True,False,False,False,564,449,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/digestive-enzymes-dogs_c374_f199v19729486,True,Make titles unique at the page/template level.,DIGESTIVE ENZYMES FOR DOGS (Free Shipping) | Chewy,DIGESTIVE ENZYMES FOR DOGS (Free Shipping) | Chewy,50,"Shop Chewy for low prices and the best dog vitamins & supplements that can improve your pup's health, wellness and vitality. Dog vitamins help a dog’s body to function properly, regulating everything from dog digestive health, skin & coat care, allergy & immune system to muscle growth. *FREE* shipping on orders $49+ and the BEST customer service.",348,,Digestive Enzymes for Dogs,1,digestive-enzymes-dogs,True,False,False,False,True,False,False,False,500,428,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/fiber-cats_c417_f199v19729462,True,Make titles unique at the page/template level.,FIBER FOR CATS (Free Shipping) | Chewy,FIBER FOR CATS (Free Shipping) | Chewy,38,"Shop Chewy for low prices and the best cat vitamins & supplements that can improve your cat's health, wellness and vitality. Cat vitamins help a cat’s body to function properly, regulating everything from cat digestive health, skin & coat care, allergy & immune system to heart & liver care. *FREE* shipping on orders $49+ and the BEST customer service.",353,,Fiber for Cats,1,fiber-cats,True,False,False,False,True,False,False,False,141,418,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/enzymes-cats_c417_f199v784825,True,Make titles unique at the page/template level.,ENZYMES FOR CATS (Free Shipping) | Chewy,ENZYMES FOR CATS (Free Shipping) | Chewy,40,"Shop Chewy for low prices and the best cat vitamins & supplements that can improve your cat's health, wellness and vitality. Cat vitamins help a cat’s body to function properly, regulating everything from cat digestive health, skin & coat care, allergy & immune system to heart & liver care. *FREE* shipping on orders $49+ and the BEST customer service.",353,,Enzymes for Cats,1,enzymes-cats,True,True,False,False,True,False,False,False,128,396,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/melatonin-cats_c417_f199v19729342,True,Make titles unique at the page/template level.,MELATONIN FOR CATS (Free Shipping) | Chewy,MELATONIN FOR CATS (Free Shipping) | Chewy,42,"Shop Chewy for low prices and the best cat vitamins & supplements that can improve your cat's health, wellness and vitality. Cat vitamins help a cat’s body to function properly, regulating everything from cat digestive health, skin & coat care, allergy & immune system to heart & liver care. *FREE* shipping on orders $49+ and the BEST customer service.",353,melatonin for cats,Melatonin for Cats,1,melatonin-cats,True,False,False,False,True,False,False,False,134,386,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Meta,Duplicate page title,https://www.chewy.com/f/american-journey-cat-food_c387_f1v121134,True,Make titles unique at the page/template level.,AMERICAN JOURNEY CAT FOOD (Free Shipping) | Chewy,AMERICAN JOURNEY CAT FOOD (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on American Journey Cat Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right American Journey Cat Food for your pet.",231,american journey for cats,American Journey Cat Food,1,american-journey-cat-food,True,True,False,False,True,False,False,False,217,371,3,,,,,,,2,2,,0,0,0,2,1.0
